,lat_california,lon_california
0,35.03125,-118.46875
1,35.40625,-118.34375
2,35.46875,-118.59375
3,35.46875,-118.40625
4,35.46875,-118.34375
5,35.53125,-118.40625
6,35.53125,-118.34375
7,35.65625,-118.59375
8,35.71875,-118.59375
9,35.71875,-118.53125
10,35.78125,-118.59375
11,35.78125,-118.53125
12,35.78125,-118.34375
13,35.78125,-118.28125
14,35.84375,-118.59375
15,35.84375,-118.53125
16,35.84375,-118.40625
17,35.84375,-118.34375
18,35.84375,-118.28125
19,35.90625,-118.59375
20,35.90625,-118.53125
21,35.90625,-118.40625
22,35.90625,-118.34375
23,35.90625,-118.28125
24,35.90625,-118.21875
25,35.90625,-118.09375
26,35.96875,-118.65625
27,35.96875,-118.59375
28,35.96875,-118.40625
29,35.96875,-118.34375
30,35.96875,-118.28125
31,35.96875,-118.09375
32,35.96875,-118.03125
33,36.03125,-118.59375
34,36.03125,-118.53125
35,36.03125,-118.40625
36,36.03125,-118.34375
37,36.03125,-118.28125
38,36.03125,-118.21875
39,36.03125,-118.09375
40,36.03125,-118.03125
41,36.09375,-118.71875
42,36.09375,-118.65625
43,36.09375,-118.59375
44,36.09375,-118.53125
45,36.09375,-118.46875
46,36.09375,-118.40625
47,36.09375,-118.34375
48,36.09375,-118.28125
49,36.09375,-118.21875
50,36.09375,-118.15625
51,36.09375,-118.09375
52,36.09375,-118.03125
53,36.15625,-118.65625
54,36.15625,-118.59375
55,36.15625,-118.53125
56,36.15625,-118.46875
57,36.15625,-118.40625
58,36.15625,-118.34375
59,36.15625,-118.28125
60,36.15625,-118.21875
61,36.15625,-118.15625
62,36.15625,-118.09375
63,36.21875,-118.71875
64,36.21875,-118.65625
65,36.21875,-118.59375
66,36.21875,-118.53125
67,36.21875,-118.46875
68,36.21875,-118.40625
69,36.21875,-118.34375
70,36.21875,-118.28125
71,36.21875,-118.21875
72,36.21875,-118.15625
73,36.21875,-118.09375
74,36.21875,-117.78125
75,36.21875,-117.71875
76,36.28125,-118.71875
77,36.28125,-118.65625
78,36.28125,-118.59375
79,36.28125,-118.53125
80,36.28125,-118.46875
81,36.28125,-118.40625
82,36.28125,-118.34375
83,36.28125,-118.28125
84,36.28125,-118.21875
85,36.28125,-118.15625
86,36.28125,-118.09375
87,36.34375,-118.78125
88,36.34375,-118.71875
89,36.34375,-118.65625
90,36.34375,-118.59375
91,36.34375,-118.53125
92,36.34375,-118.46875
93,36.34375,-118.40625
94,36.34375,-118.34375
95,36.34375,-118.28125
96,36.34375,-118.21875
97,36.34375,-118.15625
98,36.34375,-118.09375
99,36.40625,-118.78125
100,36.40625,-118.71875
101,36.40625,-118.65625
102,36.40625,-118.59375
103,36.40625,-118.53125
104,36.40625,-118.46875
105,36.40625,-118.40625
106,36.40625,-118.34375
107,36.40625,-118.28125
108,36.40625,-118.21875
109,36.40625,-118.15625
110,36.40625,-118.09375
111,36.46875,-118.71875
112,36.46875,-118.65625
113,36.46875,-118.59375
114,36.46875,-118.53125
115,36.46875,-118.46875
116,36.46875,-118.40625
117,36.46875,-118.34375
118,36.46875,-118.28125
119,36.46875,-118.21875
120,36.46875,-118.15625
121,36.46875,-118.09375
122,36.53125,-118.71875
123,36.53125,-118.65625
124,36.53125,-118.59375
125,36.53125,-118.53125
126,36.53125,-118.46875
127,36.53125,-118.40625
128,36.53125,-118.34375
129,36.53125,-118.28125
130,36.53125,-118.21875
131,36.53125,-118.15625
132,36.59375,-118.84375
133,36.59375,-118.78125
134,36.59375,-118.71875
135,36.59375,-118.65625
136,36.59375,-118.59375
137,36.59375,-118.53125
138,36.59375,-118.46875
139,36.59375,-118.40625
140,36.59375,-118.34375
141,36.59375,-118.28125
142,36.59375,-118.21875
143,36.59375,-117.84375
144,36.65625,-118.90625
145,36.65625,-118.84375
146,36.65625,-118.78125
147,36.65625,-118.71875
148,36.65625,-118.65625
149,36.65625,-118.59375
150,36.65625,-118.53125
151,36.65625,-118.46875
152,36.65625,-118.40625
153,36.65625,-118.34375
154,36.65625,-118.28125
155,36.65625,-117.96875
156,36.65625,-117.90625
157,36.71875,-118.96875
158,36.71875,-118.90625
159,36.71875,-118.84375
160,36.71875,-118.78125
161,36.71875,-118.71875
162,36.71875,-118.65625
163,36.71875,-118.59375
164,36.71875,-118.53125
165,36.71875,-118.46875
166,36.71875,-118.40625
167,36.71875,-118.34375
168,36.71875,-118.28125
169,36.71875,-117.96875
170,36.78125,-118.96875
171,36.78125,-118.90625
172,36.78125,-118.84375
173,36.78125,-118.78125
174,36.78125,-118.71875
175,36.78125,-118.65625
176,36.78125,-118.59375
177,36.78125,-118.53125
178,36.78125,-118.46875
179,36.78125,-118.40625
180,36.78125,-118.34375
181,36.78125,-118.03125
182,36.78125,-117.96875
183,36.84375,-118.78125
184,36.84375,-118.71875
185,36.84375,-118.65625
