,lat_cascades,lon_cascades
0,40.71875,-122.71875
1,40.78125,-122.96875
2,40.78125,-122.71875
3,40.84375,-122.96875
4,40.84375,-122.90625
5,40.84375,-122.65625
6,40.84375,-122.53125
7,40.90625,-122.96875
8,40.90625,-122.90625
9,40.90625,-122.84375
10,40.90625,-122.65625
11,40.90625,-122.59375
12,40.90625,-122.53125
13,40.96875,-122.96875
14,40.96875,-122.90625
15,40.96875,-122.84375
16,40.96875,-122.78125
17,40.96875,-122.59375
18,40.96875,-122.53125
19,41.03125,-122.96875
20,41.03125,-122.90625
21,41.03125,-122.84375
22,41.03125,-122.78125
23,41.03125,-122.59375
24,41.03125,-122.53125
25,41.09375,-122.96875
26,41.09375,-122.90625
27,41.09375,-122.84375
28,41.09375,-122.78125
29,41.09375,-122.71875
30,41.09375,-122.65625
31,41.09375,-122.59375
32,41.09375,-122.53125
33,41.15625,-122.96875
34,41.15625,-122.90625
35,41.15625,-122.84375
36,41.15625,-122.78125
37,41.15625,-122.71875
38,41.15625,-122.65625
39,41.15625,-122.59375
40,41.15625,-122.53125
41,41.21875,-122.96875
42,41.21875,-122.90625
43,41.21875,-122.84375
44,41.21875,-122.78125
45,41.21875,-122.71875
46,41.21875,-122.65625
47,41.21875,-122.59375
48,41.21875,-122.53125
49,41.28125,-122.96875
50,41.28125,-122.90625
51,41.28125,-122.84375
52,41.28125,-122.78125
53,41.28125,-122.71875
54,41.28125,-122.65625
55,41.28125,-122.59375
56,41.28125,-122.53125
57,41.34375,-122.96875
58,41.34375,-122.90625
59,41.34375,-122.65625
60,41.34375,-122.59375
61,41.34375,-122.53125
62,41.40625,-122.96875
63,41.40625,-122.59375
64,41.40625,-122.53125
65,41.46875,-122.96875
66,41.46875,-122.71875
67,41.46875,-122.65625
68,41.46875,-122.53125
69,41.53125,-122.71875
70,41.53125,-122.65625
71,41.53125,-122.21875
72,41.53125,-122.15625
73,41.53125,-122.09375
74,41.53125,-122.03125
75,41.53125,-121.96875
76,41.53125,-121.90625
77,41.53125,-121.84375
78,41.53125,-121.78125
79,41.53125,-121.71875
80,41.53125,-121.65625
81,41.53125,-121.59375
82,41.53125,-121.53125
83,41.53125,-121.46875
84,41.53125,-120.34375
85,41.53125,-120.28125
86,41.53125,-119.90625
87,41.59375,-122.65625
88,41.59375,-122.59375
89,41.59375,-122.21875
90,41.59375,-122.15625
91,41.59375,-122.09375
92,41.59375,-122.03125
93,41.59375,-121.96875
94,41.59375,-121.90625
95,41.59375,-121.84375
96,41.59375,-121.78125
97,41.59375,-121.71875
98,41.59375,-121.65625
99,41.59375,-121.59375
100,41.59375,-121.53125
101,41.59375,-121.46875
102,41.59375,-120.34375
103,41.59375,-120.28125
104,41.59375,-120.21875
105,41.65625,-122.78125
106,41.65625,-122.71875
107,41.65625,-122.65625
108,41.65625,-122.28125
109,41.65625,-122.21875
110,41.65625,-122.15625
111,41.65625,-122.09375
112,41.65625,-121.78125
113,41.65625,-121.71875
114,41.65625,-121.65625
115,41.65625,-121.59375
116,41.65625,-121.53125
117,41.65625,-121.46875
118,41.65625,-120.34375
119,41.65625,-120.28125
120,41.71875,-122.96875
121,41.71875,-122.90625
122,41.71875,-122.84375
123,41.71875,-122.78125
124,41.71875,-122.71875
125,41.71875,-122.21875
126,41.71875,-122.15625
127,41.71875,-122.09375
128,41.71875,-121.90625
129,41.71875,-120.28125
130,41.71875,-120.21875
131,41.78125,-122.84375
132,41.78125,-122.78125
133,41.78125,-122.28125
134,41.78125,-122.21875
135,41.78125,-122.15625
136,41.78125,-120.34375
137,41.78125,-120.28125
138,41.84375,-122.28125
139,41.84375,-122.21875
140,41.84375,-122.15625
141,41.84375,-120.21875
142,41.90625,-122.96875
143,41.90625,-122.90625
144,41.90625,-122.78125
145,41.90625,-122.65625
146,41.90625,-122.28125
147,41.90625,-122.21875
148,41.90625,-120.28125
149,41.90625,-120.21875
150,41.96875,-122.96875
151,41.96875,-122.90625
152,41.96875,-122.84375
153,41.96875,-122.78125
154,41.96875,-122.71875
155,41.96875,-120.78125
156,41.96875,-120.71875
157,41.96875,-120.65625
158,41.96875,-120.59375
159,41.96875,-120.53125
160,41.96875,-120.28125
161,41.96875,-120.21875
162,41.96875,-120.15625
163,41.96875,-120.09375
164,42.03125,-122.96875
165,42.03125,-122.90625
166,42.03125,-122.84375
167,42.03125,-122.78125
168,42.03125,-122.71875
169,42.03125,-122.59375
170,42.03125,-122.53125
171,42.03125,-122.46875
172,42.03125,-121.96875
173,42.03125,-121.28125
174,42.03125,-120.90625
175,42.03125,-120.84375
176,42.03125,-120.78125
177,42.03125,-120.71875
178,42.03125,-120.65625
179,42.03125,-120.28125
180,42.03125,-120.21875
181,42.03125,-120.15625
182,42.03125,-120.09375
183,42.09375,-122.96875
184,42.09375,-122.90625
185,42.09375,-122.84375
186,42.09375,-122.78125
187,42.09375,-122.71875
188,42.09375,-122.65625
189,42.09375,-122.59375
190,42.09375,-122.53125
191,42.09375,-122.46875
192,42.09375,-122.40625
193,42.09375,-122.28125
194,42.09375,-122.21875
195,42.09375,-122.15625
196,42.09375,-122.09375
197,42.09375,-122.03125
198,42.09375,-121.96875
199,42.09375,-121.34375
200,42.09375,-120.96875
201,42.09375,-120.90625
202,42.09375,-120.84375
203,42.09375,-120.78125
204,42.09375,-120.71875
205,42.09375,-120.65625
206,42.09375,-120.59375
207,42.09375,-120.28125
208,42.09375,-120.21875
209,42.09375,-120.15625
210,42.15625,-122.84375
211,42.15625,-122.78125
212,42.15625,-122.71875
213,42.15625,-122.53125
214,42.15625,-122.46875
215,42.15625,-122.40625
216,42.15625,-122.34375
217,42.15625,-122.28125
218,42.15625,-122.21875
219,42.15625,-122.15625
220,42.15625,-122.09375
221,42.15625,-120.96875
222,42.15625,-120.90625
223,42.15625,-120.84375
224,42.15625,-120.78125
225,42.15625,-120.71875
226,42.15625,-120.28125
227,42.15625,-120.21875
228,42.15625,-120.15625
229,42.21875,-122.90625
230,42.21875,-122.53125
231,42.21875,-122.46875
232,42.21875,-122.40625
233,42.21875,-122.34375
234,42.21875,-122.28125
235,42.21875,-122.21875
236,42.21875,-122.15625
237,42.21875,-122.09375
238,42.21875,-122.03125
239,42.21875,-121.21875
240,42.21875,-121.03125
241,42.21875,-120.96875
242,42.21875,-120.90625
243,42.21875,-120.84375
244,42.21875,-120.78125
245,42.21875,-120.65625
246,42.21875,-120.59375
247,42.21875,-120.28125
248,42.21875,-120.21875
249,42.21875,-120.15625
250,42.28125,-122.65625
251,42.28125,-122.59375
252,42.28125,-122.53125
253,42.28125,-122.46875
254,42.28125,-122.40625
255,42.28125,-122.34375
256,42.28125,-122.28125
257,42.28125,-122.21875
258,42.28125,-122.15625
259,42.28125,-122.09375
260,42.28125,-122.03125
261,42.28125,-121.96875
262,42.28125,-121.71875
263,42.28125,-121.28125
264,42.28125,-121.21875
265,42.28125,-121.09375
266,42.28125,-121.03125
267,42.28125,-120.96875
268,42.28125,-120.90625
269,42.28125,-120.84375
270,42.28125,-120.78125
271,42.28125,-120.71875
272,42.28125,-120.65625
273,42.28125,-120.59375
274,42.28125,-120.53125
275,42.28125,-120.28125
276,42.28125,-120.21875
277,42.28125,-120.15625
278,42.28125,-120.09375
279,42.28125,-119.90625
280,42.34375,-122.46875
281,42.34375,-122.40625
282,42.34375,-122.34375
283,42.34375,-122.28125
284,42.34375,-122.21875
285,42.34375,-122.15625
286,42.34375,-122.09375
287,42.34375,-122.03125
288,42.34375,-121.96875
289,42.34375,-121.59375
290,42.34375,-121.34375
291,42.34375,-121.28125
292,42.34375,-121.21875
293,42.34375,-121.15625
294,42.34375,-121.09375
295,42.34375,-120.84375
296,42.34375,-120.78125
297,42.34375,-120.71875
298,42.34375,-120.65625
299,42.34375,-120.59375
300,42.34375,-120.53125
301,42.34375,-120.46875
302,42.34375,-120.21875
303,42.34375,-120.15625
304,42.40625,-122.46875
305,42.40625,-122.40625
306,42.40625,-122.34375
307,42.40625,-122.28125
308,42.40625,-122.21875
309,42.40625,-122.15625
310,42.40625,-122.09375
311,42.40625,-122.03125
312,42.40625,-121.96875
313,42.40625,-121.84375
314,42.40625,-121.78125
315,42.40625,-121.71875
316,42.40625,-121.65625
317,42.40625,-121.59375
318,42.40625,-121.46875
319,42.40625,-121.15625
320,42.40625,-120.84375
321,42.40625,-120.78125
322,42.40625,-120.71875
323,42.40625,-120.65625
324,42.40625,-120.59375
325,42.40625,-120.53125
326,42.40625,-120.46875
327,42.40625,-120.40625
328,42.40625,-120.21875
329,42.40625,-120.15625
330,42.40625,-119.78125
331,42.46875,-122.53125
332,42.46875,-122.46875
333,42.46875,-122.40625
334,42.46875,-122.34375
335,42.46875,-122.28125
336,42.46875,-122.21875
337,42.46875,-122.15625
338,42.46875,-122.09375
339,42.46875,-121.84375
340,42.46875,-121.78125
341,42.46875,-121.71875
342,42.46875,-121.65625
343,42.46875,-120.90625
344,42.46875,-120.84375
345,42.46875,-120.78125
346,42.46875,-120.71875
347,42.46875,-120.65625
348,42.46875,-120.53125
349,42.46875,-120.46875
350,42.46875,-120.21875
351,42.46875,-120.15625
352,42.53125,-122.40625
353,42.53125,-122.34375
354,42.53125,-122.28125
355,42.53125,-122.21875
356,42.53125,-122.15625
357,42.53125,-122.09375
358,42.53125,-122.03125
359,42.53125,-121.84375
360,42.53125,-121.78125
361,42.53125,-121.71875
362,42.53125,-121.65625
363,42.53125,-120.96875
364,42.53125,-120.90625
365,42.53125,-120.84375
366,42.53125,-120.78125
367,42.53125,-120.71875
368,42.53125,-120.65625
369,42.53125,-120.53125
370,42.53125,-120.21875
371,42.53125,-120.15625
372,42.59375,-122.53125
373,42.59375,-122.40625
374,42.59375,-122.34375
375,42.59375,-122.28125
376,42.59375,-122.21875
377,42.59375,-122.15625
378,42.59375,-122.09375
379,42.59375,-122.03125
380,42.59375,-121.90625
381,42.59375,-121.84375
382,42.59375,-121.78125
383,42.59375,-121.59375
384,42.59375,-121.53125
