,lat_coastalnorth,lon_coastalnorth
0,41.53125,-124.09375
1,41.53125,-124.03125
2,41.53125,-123.96875
3,41.53125,-123.90625
4,41.53125,-123.84375
5,41.53125,-123.53125
6,41.53125,-122.96875
7,41.53125,-122.90625
8,41.53125,-122.84375
9,41.53125,-122.78125
10,41.53125,-122.59375
11,41.53125,-122.53125
12,41.53125,-122.46875
13,41.53125,-122.40625
14,41.53125,-122.34375
15,41.53125,-122.28125
16,41.59375,-124.09375
17,41.59375,-124.03125
18,41.59375,-123.96875
19,41.59375,-123.90625
20,41.59375,-122.96875
21,41.59375,-122.90625
22,41.59375,-122.84375
23,41.59375,-122.78125
24,41.59375,-122.71875
25,41.59375,-122.53125
26,41.59375,-122.46875
27,41.59375,-122.40625
28,41.59375,-122.34375
29,41.59375,-122.28125
30,41.65625,-124.09375
31,41.65625,-124.03125
32,41.65625,-123.96875
33,41.65625,-123.90625
34,41.65625,-123.84375
35,41.65625,-123.78125
36,41.65625,-122.96875
37,41.65625,-122.90625
38,41.65625,-122.84375
39,41.65625,-122.59375
40,41.65625,-122.53125
41,41.65625,-122.46875
42,41.65625,-122.40625
43,41.65625,-122.34375
44,41.65625,-122.03125
45,41.71875,-124.09375
46,41.71875,-124.03125
47,41.71875,-123.96875
48,41.71875,-123.90625
49,41.71875,-123.84375
50,41.71875,-122.65625
51,41.71875,-122.59375
52,41.71875,-122.53125
53,41.71875,-122.46875
54,41.71875,-122.40625
55,41.71875,-122.34375
56,41.71875,-122.28125
57,41.71875,-122.03125
58,41.78125,-124.21875
59,41.78125,-124.15625
60,41.78125,-124.09375
61,41.78125,-124.03125
62,41.78125,-123.96875
63,41.78125,-123.90625
64,41.78125,-123.34375
65,41.78125,-122.96875
66,41.78125,-122.90625
67,41.78125,-122.71875
68,41.78125,-122.65625
69,41.78125,-122.59375
70,41.78125,-122.53125
71,41.78125,-122.46875
72,41.78125,-122.40625
73,41.78125,-122.34375
74,41.78125,-122.09375
75,41.78125,-122.03125
76,41.84375,-124.21875
77,41.84375,-124.15625
78,41.84375,-124.09375
79,41.84375,-124.03125
80,41.84375,-123.96875
81,41.84375,-123.90625
82,41.84375,-123.84375
83,41.84375,-123.15625
84,41.84375,-123.03125
85,41.84375,-122.96875
86,41.84375,-122.90625
87,41.84375,-122.84375
88,41.84375,-122.78125
89,41.84375,-122.71875
90,41.84375,-122.65625
91,41.84375,-122.59375
92,41.84375,-122.53125
93,41.84375,-122.46875
94,41.84375,-122.40625
95,41.84375,-122.34375
96,41.84375,-122.09375
97,41.84375,-122.03125
