,lat_coastalsouth,lon_coastalsouth
0,33.90625,-120.09375
1,33.90625,-120.03125
2,33.96875,-120.09375
3,33.96875,-120.03125
4,34.03125,-118.96875
5,34.03125,-118.90625
6,34.03125,-118.84375
7,34.03125,-118.78125
8,34.03125,-118.71875
9,34.03125,-118.65625
10,34.03125,-118.59375
11,34.03125,-118.53125
12,34.09375,-118.96875
13,34.09375,-118.90625
14,34.09375,-118.84375
15,34.09375,-118.78125
16,34.09375,-118.71875
17,34.09375,-118.65625
18,34.09375,-118.59375
19,34.09375,-118.53125
20,34.15625,-119.21875
21,34.15625,-119.15625
22,34.15625,-119.09375
23,34.15625,-119.03125
24,34.15625,-118.96875
25,34.15625,-118.90625
26,34.15625,-118.84375
27,34.15625,-118.78125
28,34.15625,-118.71875
29,34.15625,-118.65625
30,34.15625,-118.59375
31,34.15625,-118.53125
32,34.21875,-119.21875
33,34.21875,-119.15625
34,34.21875,-119.09375
35,34.21875,-119.03125
36,34.21875,-118.96875
37,34.21875,-118.90625
38,34.21875,-118.84375
39,34.21875,-118.78125
40,34.21875,-118.71875
41,34.21875,-118.65625
42,34.21875,-118.59375
43,34.21875,-118.53125
44,34.28125,-119.34375
45,34.28125,-119.28125
46,34.28125,-119.21875
47,34.28125,-119.15625
48,34.28125,-119.09375
49,34.28125,-119.03125
50,34.28125,-118.96875
51,34.28125,-118.90625
52,34.28125,-118.84375
53,34.28125,-118.78125
54,34.28125,-118.71875
55,34.28125,-118.65625
56,34.28125,-118.59375
57,34.28125,-118.53125
58,34.34375,-119.34375
59,34.34375,-119.28125
60,34.34375,-119.21875
61,34.34375,-119.15625
62,34.34375,-119.09375
63,34.34375,-119.03125
64,34.34375,-118.96875
65,34.34375,-118.90625
66,34.34375,-118.84375
67,34.34375,-118.78125
68,34.34375,-118.71875
69,34.34375,-118.65625
70,34.34375,-118.59375
71,34.34375,-118.53125
72,34.40625,-119.90625
73,34.40625,-119.84375
74,34.40625,-119.78125
75,34.40625,-119.71875
76,34.40625,-119.65625
