,lat_greatbasin,lon_greatbasin
0,35.21875,-115.40625
1,35.28125,-115.53125
2,35.28125,-115.46875
3,35.28125,-115.40625
4,35.28125,-115.34375
5,35.28125,-115.28125
6,35.34375,-115.46875
7,35.34375,-115.40625
8,35.34375,-115.34375
9,35.34375,-115.28125
10,35.34375,-115.21875
11,35.40625,-115.46875
12,35.40625,-115.40625
13,35.40625,-115.34375
14,35.40625,-115.28125
15,35.40625,-115.21875
16,35.40625,-115.15625
17,35.46875,-115.53125
18,35.46875,-115.46875
19,35.46875,-115.40625
20,35.46875,-115.34375
21,35.46875,-115.28125
22,35.46875,-115.21875
23,35.46875,-115.15625
24,35.53125,-115.53125
25,35.53125,-115.46875
26,35.53125,-115.40625
27,35.53125,-115.34375
28,35.53125,-115.28125
29,35.53125,-115.21875
30,35.53125,-114.96875
31,35.53125,-114.90625
32,35.59375,-115.59375
33,35.59375,-115.53125
34,35.59375,-115.46875
35,35.59375,-115.40625
36,35.59375,-115.34375
37,35.59375,-115.28125
38,35.59375,-115.21875
39,35.59375,-115.15625
40,35.59375,-115.09375
41,35.59375,-115.03125
42,35.59375,-114.96875
43,35.59375,-114.90625
44,35.59375,-114.84375
45,35.65625,-115.59375
46,35.65625,-115.53125
47,35.65625,-115.46875
48,35.65625,-115.40625
49,35.65625,-115.34375
50,35.65625,-115.28125
51,35.65625,-115.21875
52,35.65625,-115.15625
53,35.65625,-115.09375
54,35.65625,-115.03125
55,35.65625,-114.96875
56,35.65625,-114.90625
57,35.65625,-114.84375
58,35.71875,-115.78125
59,35.71875,-115.71875
60,35.71875,-115.65625
61,35.71875,-115.59375
62,35.71875,-115.53125
63,35.71875,-115.46875
64,35.71875,-115.40625
65,35.71875,-115.34375
66,35.71875,-115.28125
67,35.71875,-115.21875
68,35.71875,-115.15625
69,35.71875,-115.09375
70,35.71875,-115.03125
71,35.71875,-114.96875
72,35.71875,-114.90625
73,35.78125,-115.84375
74,35.78125,-115.78125
75,35.78125,-115.71875
76,35.78125,-115.65625
77,35.78125,-115.59375
78,35.78125,-115.53125
79,35.78125,-115.46875
80,35.78125,-115.40625
81,35.78125,-115.34375
82,35.78125,-115.28125
83,35.78125,-115.21875
84,35.78125,-115.15625
85,35.78125,-115.09375
86,35.78125,-115.03125
87,35.78125,-114.96875
88,35.78125,-114.90625
89,35.78125,-114.84375
90,35.84375,-115.84375
91,35.84375,-115.78125
