,lat_lowercolorado,lon_lowercolorado
0,31.40625,-111.34375
1,31.40625,-111.28125
2,31.40625,-111.21875
3,31.40625,-111.15625
4,31.40625,-111.09375
5,31.40625,-111.03125
6,31.40625,-110.96875
7,31.40625,-110.90625
8,31.40625,-110.84375
9,31.40625,-110.78125
10,31.40625,-110.71875
11,31.40625,-110.65625
12,31.40625,-110.59375
13,31.40625,-110.53125
14,31.40625,-110.46875
15,31.40625,-110.40625
16,31.40625,-110.34375
17,31.40625,-110.28125
18,31.40625,-110.21875
19,31.40625,-110.15625
20,31.40625,-110.09375
21,31.40625,-110.03125
22,31.40625,-109.96875
23,31.40625,-109.90625
24,31.40625,-109.84375
25,31.40625,-109.78125
26,31.40625,-109.71875
27,31.40625,-109.65625
28,31.40625,-109.59375
29,31.40625,-109.53125
30,31.40625,-109.46875
31,31.40625,-109.40625
32,31.40625,-109.34375
33,31.40625,-109.28125
34,31.40625,-109.21875
35,31.40625,-109.15625
36,31.40625,-109.09375
37,31.40625,-109.03125
38,31.40625,-108.96875
39,31.40625,-108.90625
40,31.40625,-108.84375
41,31.40625,-108.78125
42,31.46875,-111.34375
43,31.46875,-111.28125
44,31.46875,-111.21875
45,31.46875,-111.15625
46,31.46875,-111.09375
47,31.46875,-111.03125
48,31.46875,-110.96875
49,31.46875,-110.90625
50,31.46875,-110.84375
51,31.46875,-110.78125
52,31.46875,-110.71875
53,31.46875,-110.65625
54,31.46875,-110.59375
55,31.46875,-110.53125
56,31.46875,-110.46875
57,31.46875,-110.40625
58,31.46875,-110.34375
59,31.46875,-110.28125
60,31.46875,-110.21875
61,31.46875,-110.15625
62,31.46875,-110.09375
63,31.46875,-110.03125
64,31.46875,-109.96875
65,31.46875,-109.90625
66,31.46875,-109.84375
67,31.46875,-109.78125
68,31.46875,-109.71875
69,31.46875,-109.65625
70,31.46875,-109.59375
71,31.46875,-109.53125
72,31.46875,-109.46875
73,31.46875,-109.40625
74,31.46875,-109.34375
75,31.46875,-109.28125
76,31.46875,-109.21875
77,31.46875,-109.15625
78,31.46875,-109.09375
79,31.46875,-109.03125
80,31.46875,-108.96875
81,31.46875,-108.90625
82,31.46875,-108.84375
83,31.46875,-108.78125
84,31.53125,-111.71875
85,31.53125,-111.65625
86,31.53125,-111.59375
87,31.53125,-111.53125
88,31.53125,-111.46875
89,31.53125,-111.40625
90,31.53125,-111.34375
91,31.53125,-111.28125
92,31.53125,-111.21875
93,31.53125,-111.15625
94,31.53125,-111.09375
95,31.53125,-111.03125
96,31.53125,-110.96875
97,31.53125,-110.90625
98,31.53125,-110.84375
99,31.53125,-110.78125
100,31.53125,-110.71875
101,31.53125,-110.65625
102,31.53125,-110.59375
103,31.53125,-110.53125
104,31.53125,-110.46875
105,31.53125,-110.40625
106,31.53125,-110.34375
107,31.53125,-110.28125
108,31.53125,-110.21875
109,31.53125,-110.15625
110,31.53125,-110.09375
111,31.53125,-110.03125
