,lat_missouri,lon_missouri
0,38.84375,-105.90625
1,38.84375,-105.84375
2,38.84375,-105.78125
3,38.84375,-105.71875
4,38.84375,-105.65625
5,38.84375,-105.46875
6,38.90625,-105.90625
7,38.90625,-105.84375
8,38.90625,-105.78125
9,38.90625,-105.71875
10,38.90625,-105.65625
11,38.90625,-105.59375
12,38.90625,-105.53125
13,38.90625,-105.46875
14,38.90625,-105.40625
15,38.90625,-105.34375
16,38.90625,-105.28125
17,38.90625,-105.21875
18,38.96875,-106.03125
19,38.96875,-105.96875
20,38.96875,-105.90625
21,38.96875,-105.84375
22,38.96875,-105.78125
23,38.96875,-105.71875
24,38.96875,-105.65625
25,38.96875,-105.59375
26,38.96875,-105.53125
27,38.96875,-105.46875
28,38.96875,-105.40625
29,38.96875,-105.34375
30,38.96875,-105.28125
31,38.96875,-105.21875
32,38.96875,-105.15625
33,39.03125,-105.96875
34,39.03125,-105.90625
35,39.03125,-105.84375
36,39.03125,-105.78125
37,39.03125,-105.71875
38,39.03125,-105.65625
39,39.03125,-105.59375
40,39.03125,-105.53125
41,39.03125,-105.46875
42,39.03125,-105.40625
43,39.03125,-105.34375
44,39.03125,-105.21875
45,39.03125,-105.15625
46,39.03125,-105.09375
47,39.03125,-104.65625
48,39.09375,-106.09375
49,39.09375,-106.03125
50,39.09375,-105.96875
51,39.09375,-105.90625
52,39.09375,-105.84375
53,39.09375,-105.78125
54,39.09375,-105.71875
55,39.09375,-105.65625
56,39.09375,-105.46875
57,39.09375,-105.40625
58,39.09375,-105.34375
59,39.09375,-105.21875
60,39.09375,-105.15625
61,39.09375,-105.09375
62,39.09375,-104.78125
63,39.09375,-104.71875
64,39.09375,-104.65625
65,39.09375,-104.59375
66,39.09375,-104.53125
67,39.09375,-104.46875
68,39.09375,-103.21875
69,39.09375,-103.15625
70,39.09375,-103.09375
71,39.09375,-103.03125
72,39.15625,-106.03125
73,39.15625,-105.96875
74,39.15625,-105.90625
75,39.15625,-105.84375
76,39.15625,-105.78125
77,39.15625,-105.71875
78,39.15625,-105.65625
79,39.15625,-105.46875
80,39.15625,-105.34375
81,39.15625,-105.28125
82,39.15625,-105.21875
83,39.15625,-105.15625
84,39.15625,-105.09375
85,39.15625,-104.90625
86,39.15625,-104.84375
87,39.15625,-104.78125
88,39.15625,-104.71875
89,39.15625,-104.65625
90,39.15625,-104.59375
91,39.15625,-104.53125
92,39.15625,-104.46875
93,39.15625,-104.40625
94,39.15625,-104.34375
95,39.15625,-104.28125
96,39.15625,-104.21875
97,39.15625,-103.28125
98,39.15625,-103.21875
99,39.15625,-103.15625
100,39.15625,-103.09375
101,39.15625,-103.03125
102,39.21875,-105.96875
103,39.21875,-105.90625
104,39.21875,-105.84375
105,39.21875,-105.78125
106,39.21875,-105.71875
107,39.21875,-105.65625
108,39.21875,-105.34375
109,39.21875,-105.28125
110,39.21875,-105.21875
111,39.21875,-105.15625
112,39.21875,-104.96875
113,39.21875,-104.90625
114,39.21875,-104.84375
115,39.21875,-104.78125
116,39.21875,-104.71875
117,39.21875,-104.65625
118,39.21875,-104.59375
119,39.21875,-104.53125
120,39.21875,-104.46875
121,39.21875,-104.40625
122,39.21875,-104.34375
123,39.21875,-104.28125
124,39.21875,-104.21875
125,39.21875,-104.15625
126,39.21875,-104.09375
127,39.21875,-104.03125
128,39.21875,-103.34375
129,39.21875,-103.28125
130,39.21875,-103.21875
131,39.21875,-103.15625
132,39.21875,-103.09375
133,39.21875,-103.03125
134,39.28125,-105.90625
135,39.28125,-105.84375
136,39.28125,-105.78125
137,39.28125,-105.71875
138,39.28125,-105.65625
139,39.28125,-105.28125
140,39.28125,-105.21875
141,39.28125,-104.96875
142,39.28125,-104.90625
143,39.28125,-104.84375
144,39.28125,-104.78125
145,39.28125,-104.71875
146,39.28125,-104.65625
147,39.28125,-104.59375
148,39.28125,-104.53125
149,39.28125,-104.46875
150,39.28125,-104.40625
151,39.28125,-104.34375
152,39.28125,-104.28125
153,39.28125,-104.21875
154,39.28125,-104.15625
155,39.28125,-104.09375
156,39.28125,-104.03125
157,39.28125,-103.53125
158,39.28125,-103.46875
159,39.28125,-103.40625
160,39.28125,-103.34375
161,39.28125,-103.28125
162,39.28125,-103.21875
163,39.28125,-103.15625
164,39.28125,-103.09375
165,39.28125,-103.03125
166,39.34375,-105.84375
167,39.34375,-105.78125
168,39.34375,-105.40625
169,39.34375,-105.34375
170,39.34375,-105.28125
171,39.34375,-105.21875
172,39.34375,-105.15625
173,39.34375,-105.03125
174,39.34375,-104.96875
175,39.34375,-104.90625
176,39.34375,-104.84375
177,39.34375,-104.78125
178,39.34375,-104.71875
179,39.34375,-104.65625
180,39.34375,-104.59375
181,39.34375,-104.53125
182,39.34375,-104.46875
183,39.34375,-104.40625
184,39.34375,-104.34375
185,39.34375,-104.28125
186,39.34375,-104.21875
187,39.34375,-104.15625
188,39.34375,-104.09375
189,39.34375,-104.03125
190,39.34375,-103.96875
191,39.34375,-103.90625
192,39.34375,-103.59375
193,39.34375,-103.53125
194,39.34375,-103.46875
195,39.34375,-103.40625
196,39.34375,-103.34375
197,39.34375,-103.28125
198,39.34375,-103.21875
199,39.34375,-103.15625
200,39.34375,-103.09375
201,39.34375,-103.03125
202,39.40625,-105.46875
203,39.40625,-105.40625
204,39.40625,-105.34375
205,39.40625,-105.28125
206,39.40625,-105.21875
207,39.40625,-105.15625
208,39.40625,-105.09375
209,39.40625,-105.03125
210,39.40625,-104.96875
211,39.40625,-104.90625
212,39.40625,-104.84375
213,39.40625,-104.78125
214,39.40625,-104.71875
215,39.40625,-104.65625
216,39.40625,-104.59375
217,39.40625,-104.53125
218,39.40625,-104.46875
219,39.40625,-104.40625
220,39.40625,-104.34375
221,39.40625,-104.28125
222,39.40625,-104.21875
223,39.40625,-104.15625
224,39.40625,-104.09375
225,39.40625,-104.03125
226,39.40625,-103.96875
227,39.40625,-103.90625
228,39.40625,-103.84375
229,39.40625,-103.78125
230,39.40625,-103.71875
231,39.40625,-103.65625
232,39.40625,-103.59375
233,39.40625,-103.53125
234,39.40625,-103.46875
