,lat_northernrockies,lon_northernrockies
0,42.40625,-112.96875
1,42.40625,-112.90625
2,42.40625,-112.71875
3,42.40625,-112.65625
4,42.40625,-112.53125
5,42.40625,-112.40625
6,42.40625,-112.34375
7,42.40625,-112.28125
8,42.40625,-111.96875
9,42.40625,-111.90625
10,42.40625,-111.84375
11,42.40625,-111.78125
12,42.40625,-111.65625
13,42.40625,-111.59375
14,42.40625,-111.53125
15,42.40625,-111.46875
16,42.40625,-111.40625
17,42.40625,-111.28125
18,42.40625,-111.21875
19,42.40625,-111.15625
20,42.40625,-111.09375
21,42.40625,-111.03125
22,42.40625,-110.96875
23,42.40625,-110.90625
24,42.40625,-110.84375
25,42.40625,-110.78125
26,42.40625,-110.71875
27,42.40625,-110.65625
28,42.40625,-110.59375
29,42.40625,-110.53125
30,42.40625,-110.46875
31,42.40625,-110.40625
32,42.40625,-110.34375
33,42.40625,-110.28125
34,42.40625,-110.21875
35,42.40625,-109.15625
36,42.40625,-109.09375
37,42.40625,-109.03125
38,42.40625,-108.96875
39,42.40625,-108.90625
40,42.40625,-108.84375
41,42.40625,-108.78125
42,42.46875,-112.96875
43,42.46875,-112.71875
44,42.46875,-112.65625
45,42.46875,-112.46875
46,42.46875,-112.40625
47,42.46875,-112.34375
48,42.46875,-112.28125
49,42.46875,-112.03125
50,42.46875,-111.96875
51,42.46875,-111.90625
52,42.46875,-111.84375
53,42.46875,-111.65625
54,42.46875,-111.59375
55,42.46875,-111.53125
56,42.46875,-111.46875
57,42.46875,-111.34375
58,42.46875,-111.28125
59,42.46875,-111.21875
60,42.46875,-111.15625
61,42.46875,-111.09375
62,42.46875,-111.03125
63,42.46875,-110.96875
64,42.46875,-110.90625
65,42.46875,-110.84375
66,42.46875,-110.78125
67,42.46875,-110.71875
68,42.46875,-110.65625
69,42.46875,-110.59375
70,42.46875,-110.53125
71,42.46875,-110.46875
72,42.46875,-110.40625
73,42.46875,-110.34375
74,42.46875,-110.28125
75,42.46875,-109.21875
76,42.46875,-109.15625
77,42.46875,-109.09375
78,42.46875,-109.03125
79,42.46875,-108.96875
80,42.46875,-108.90625
81,42.46875,-108.84375
82,42.46875,-108.78125
83,42.46875,-108.71875
84,42.46875,-108.65625
85,42.53125,-112.71875
86,42.53125,-112.65625
87,42.53125,-112.46875
88,42.53125,-112.40625
89,42.53125,-112.09375
90,42.53125,-112.03125
91,42.53125,-111.96875
92,42.53125,-111.90625
93,42.53125,-111.65625
94,42.53125,-111.59375
95,42.53125,-111.53125
96,42.53125,-111.40625
97,42.53125,-111.34375
98,42.53125,-111.28125
99,42.53125,-111.21875
100,42.53125,-111.15625
101,42.53125,-111.09375
102,42.53125,-111.03125
103,42.53125,-110.96875
104,42.53125,-110.90625
105,42.53125,-110.84375
106,42.53125,-110.78125
107,42.53125,-110.71875
108,42.53125,-110.65625
109,42.53125,-110.59375
110,42.53125,-110.53125
111,42.53125,-110.46875
112,42.53125,-110.40625
113,42.53125,-110.34375
114,42.53125,-110.28125
115,42.53125,-109.21875
116,42.53125,-109.15625
117,42.53125,-109.09375
118,42.53125,-109.03125
119,42.53125,-108.96875
120,42.53125,-108.90625
121,42.53125,-108.84375
122,42.53125,-108.78125
123,42.53125,-108.71875
124,42.53125,-108.65625
125,42.53125,-108.59375
126,42.59375,-112.78125
127,42.59375,-112.71875
128,42.59375,-112.65625
129,42.59375,-112.46875
130,42.59375,-112.40625
131,42.59375,-112.34375
132,42.59375,-112.09375
133,42.59375,-111.96875
134,42.59375,-111.90625
135,42.59375,-111.65625
136,42.59375,-111.59375
137,42.59375,-111.46875
138,42.59375,-111.40625
139,42.59375,-111.34375
140,42.59375,-111.28125
141,42.59375,-111.21875
142,42.59375,-111.15625
143,42.59375,-111.09375
144,42.59375,-111.03125
145,42.59375,-110.96875
146,42.59375,-110.90625
147,42.59375,-110.84375
148,42.59375,-110.78125
149,42.59375,-110.71875
150,42.59375,-110.65625
151,42.59375,-110.59375
152,42.59375,-110.53125
153,42.59375,-110.46875
154,42.59375,-110.40625
155,42.59375,-110.34375
156,42.59375,-110.28125
157,42.59375,-109.71875
158,42.59375,-109.65625
159,42.59375,-109.34375
160,42.59375,-109.28125
161,42.59375,-109.21875
162,42.59375,-109.15625
163,42.59375,-109.09375
164,42.59375,-109.03125
165,42.59375,-108.96875
166,42.59375,-108.90625
167,42.59375,-108.84375
168,42.59375,-108.78125
169,42.59375,-108.71875
170,42.59375,-108.65625
171,42.65625,-112.78125
172,42.65625,-112.71875
173,42.65625,-112.65625
174,42.65625,-112.46875
175,42.65625,-112.40625
176,42.65625,-112.34375
177,42.65625,-112.28125
178,42.65625,-112.09375
179,42.65625,-112.03125
180,42.65625,-111.96875
