,lat_nwinterior,lon_nwinterior
0,42.03125,-121.46875
1,42.03125,-121.40625
2,42.03125,-121.34375
3,42.03125,-121.21875
4,42.03125,-121.15625
5,42.03125,-121.09375
6,42.03125,-121.03125
7,42.03125,-120.96875
8,42.03125,-120.59375
9,42.03125,-120.53125
10,42.03125,-120.46875
11,42.03125,-120.40625
12,42.03125,-120.34375
13,42.03125,-120.03125
14,42.03125,-119.96875
15,42.03125,-119.90625
16,42.03125,-119.84375
17,42.03125,-119.78125
18,42.03125,-119.65625
19,42.03125,-119.59375
20,42.03125,-119.53125
21,42.03125,-119.46875
22,42.03125,-119.40625
23,42.03125,-119.34375
24,42.03125,-119.28125
25,42.03125,-119.21875
26,42.03125,-119.15625
27,42.03125,-119.09375
28,42.03125,-119.03125
29,42.03125,-118.96875
30,42.03125,-118.90625
31,42.03125,-118.84375
32,42.03125,-118.78125
33,42.03125,-118.71875
34,42.03125,-118.65625
35,42.03125,-118.59375
36,42.03125,-118.53125
37,42.03125,-118.46875
38,42.03125,-118.40625
39,42.03125,-118.15625
40,42.03125,-118.09375
41,42.03125,-118.03125
42,42.03125,-117.96875
43,42.03125,-117.90625
44,42.03125,-117.84375
45,42.03125,-117.78125
46,42.03125,-117.71875
47,42.03125,-117.65625
48,42.03125,-117.59375
49,42.03125,-117.34375
50,42.03125,-117.28125
51,42.03125,-117.21875
52,42.03125,-117.15625
53,42.03125,-117.09375
54,42.03125,-117.03125
55,42.03125,-116.96875
56,42.03125,-116.90625
57,42.03125,-116.84375
58,42.03125,-116.78125
59,42.03125,-116.71875
60,42.03125,-116.65625
61,42.03125,-116.59375
62,42.03125,-116.53125
63,42.03125,-116.46875
64,42.03125,-116.40625
65,42.03125,-116.34375
66,42.03125,-116.28125
67,42.03125,-116.21875
68,42.03125,-116.15625
69,42.03125,-115.84375
70,42.03125,-115.78125
71,42.03125,-115.71875
72,42.03125,-115.65625
73,42.03125,-115.59375
74,42.03125,-115.53125
75,42.03125,-115.46875
76,42.03125,-115.40625
77,42.03125,-115.34375
78,42.03125,-115.28125
79,42.03125,-115.21875
80,42.03125,-115.15625
81,42.03125,-115.09375
82,42.03125,-114.84375
83,42.03125,-114.78125
84,42.03125,-114.71875
85,42.03125,-114.65625
86,42.03125,-114.59375
87,42.03125,-114.53125
88,42.03125,-114.46875
89,42.03125,-114.40625
90,42.03125,-114.34375
91,42.03125,-114.21875
92,42.03125,-114.15625
93,42.03125,-114.09375
94,42.03125,-114.03125
95,42.03125,-113.96875
96,42.03125,-113.90625
97,42.03125,-113.78125
98,42.03125,-113.71875
99,42.03125,-113.65625
100,42.03125,-113.59375
101,42.03125,-113.53125
102,42.03125,-113.46875
103,42.03125,-113.40625
104,42.03125,-113.34375
105,42.03125,-113.28125
106,42.03125,-113.21875
107,42.03125,-113.15625
108,42.03125,-113.09375
109,42.03125,-113.03125
110,42.03125,-112.96875
111,42.03125,-112.90625
112,42.03125,-112.84375
113,42.03125,-112.78125
