,lat_southernrockies,lon_southernrockies
0,35.65625,-105.78125
1,35.65625,-105.53125
2,35.71875,-106.84375
3,35.71875,-106.53125
4,35.71875,-105.84375
5,35.71875,-105.78125
6,35.71875,-105.71875
7,35.71875,-105.65625
8,35.71875,-105.59375
9,35.71875,-105.53125
10,35.71875,-105.46875
11,35.78125,-106.84375
12,35.78125,-106.59375
13,35.78125,-106.53125
14,35.78125,-105.84375
15,35.78125,-105.78125
16,35.78125,-105.71875
17,35.78125,-105.65625
18,35.78125,-105.59375
19,35.78125,-105.53125
20,35.78125,-105.46875
21,35.78125,-105.40625
22,35.84375,-106.84375
23,35.84375,-106.78125
24,35.84375,-106.71875
25,35.84375,-106.59375
26,35.84375,-106.53125
27,35.84375,-106.46875
28,35.84375,-106.40625
29,35.84375,-105.84375
30,35.84375,-105.78125
31,35.84375,-105.71875
32,35.84375,-105.65625
33,35.84375,-105.59375
34,35.84375,-105.53125
35,35.90625,-106.84375
36,35.90625,-106.78125
37,35.90625,-106.71875
38,35.90625,-106.65625
39,35.90625,-106.59375
40,35.90625,-106.53125
41,35.90625,-106.46875
42,35.90625,-106.40625
43,35.90625,-105.84375
44,35.90625,-105.78125
45,35.90625,-105.71875
46,35.90625,-105.65625
47,35.90625,-105.59375
48,35.90625,-105.53125
49,35.90625,-105.46875
50,35.96875,-106.84375
51,35.96875,-106.78125
52,35.96875,-106.71875
53,35.96875,-106.65625
54,35.96875,-106.59375
55,35.96875,-106.53125
56,35.96875,-106.46875
57,35.96875,-106.40625
58,35.96875,-106.34375
59,35.96875,-105.78125
60,35.96875,-105.71875
61,35.96875,-105.65625
62,35.96875,-105.59375
63,35.96875,-105.53125
64,35.96875,-105.46875
65,36.03125,-106.84375
66,36.03125,-106.78125
67,36.03125,-106.71875
68,36.03125,-106.65625
69,36.03125,-106.59375
70,36.03125,-106.53125
71,36.03125,-106.46875
72,36.03125,-106.40625
73,36.03125,-106.34375
74,36.03125,-105.78125
75,36.03125,-105.71875
76,36.03125,-105.65625
77,36.03125,-105.59375
78,36.03125,-105.53125
79,36.03125,-105.46875
80,36.09375,-106.90625
81,36.09375,-106.84375
82,36.09375,-106.78125
83,36.09375,-106.71875
84,36.09375,-106.65625
85,36.09375,-106.59375
86,36.09375,-106.53125
87,36.09375,-106.46875
88,36.09375,-106.40625
89,36.09375,-105.71875
90,36.09375,-105.65625
91,36.09375,-105.59375
92,36.09375,-105.53125
93,36.09375,-105.46875
94,36.09375,-105.40625
95,36.09375,-105.34375
96,36.15625,-106.90625
97,36.15625,-106.84375
98,36.15625,-106.78125
99,36.15625,-106.71875
100,36.15625,-106.53125
101,36.15625,-105.59375
102,36.15625,-105.53125
103,36.15625,-105.46875
104,36.15625,-105.40625
105,36.15625,-105.34375
106,36.15625,-105.28125
107,36.21875,-106.84375
108,36.21875,-106.78125
109,36.21875,-106.71875
110,36.21875,-105.59375
111,36.21875,-105.53125
112,36.21875,-105.46875
113,36.21875,-105.40625
114,36.21875,-105.34375
115,36.21875,-105.28125
116,36.21875,-105.21875
117,36.28125,-106.78125
118,36.28125,-106.71875
119,36.28125,-106.65625
120,36.28125,-105.71875
121,36.28125,-105.65625
122,36.28125,-105.53125
123,36.28125,-105.46875
124,36.28125,-105.40625
125,36.28125,-105.34375
126,36.28125,-105.28125
127,36.28125,-105.21875
128,36.28125,-105.15625
129,36.34375,-106.78125
130,36.34375,-106.71875
131,36.34375,-105.46875
132,36.34375,-105.40625
133,36.34375,-105.34375
134,36.34375,-105.28125
135,36.34375,-105.21875
136,36.34375,-105.15625
137,36.34375,-105.09375
138,36.40625,-106.78125
139,36.40625,-106.34375
140,36.40625,-106.28125
141,36.40625,-105.46875
142,36.40625,-105.40625
143,36.40625,-105.34375
144,36.40625,-105.28125
145,36.40625,-105.21875
146,36.40625,-105.15625
147,36.40625,-105.09375
148,36.46875,-106.96875
149,36.46875,-106.90625
150,36.46875,-106.78125
151,36.46875,-106.34375
152,36.46875,-106.28125
153,36.46875,-106.21875
154,36.46875,-105.46875
155,36.46875,-105.40625
156,36.46875,-105.34375
157,36.46875,-105.21875
158,36.46875,-105.15625
