,lat_whites,lon_whites
0,33.34375,-108.78125
1,33.53125,-109.09375
2,33.59375,-109.46875
3,33.59375,-109.40625
4,33.59375,-109.34375
5,33.59375,-109.28125
6,33.65625,-109.65625
7,33.65625,-109.59375
8,33.65625,-109.46875
9,33.65625,-109.40625
10,33.65625,-109.34375
11,33.65625,-109.28125
12,33.65625,-109.21875
13,33.71875,-109.71875
14,33.71875,-109.65625
15,33.71875,-109.59375
16,33.71875,-109.53125
17,33.71875,-109.46875
18,33.71875,-109.40625
19,33.71875,-109.34375
20,33.71875,-109.28125
21,33.71875,-109.21875
22,33.71875,-109.15625
23,33.71875,-108.96875
24,33.78125,-109.78125
25,33.78125,-109.71875
26,33.78125,-109.65625
27,33.78125,-109.59375
28,33.78125,-109.53125
29,33.78125,-109.46875
30,33.78125,-109.40625
31,33.78125,-109.34375
32,33.78125,-109.28125
33,33.78125,-109.21875
34,33.78125,-109.15625
35,33.78125,-108.90625
36,33.84375,-109.78125
37,33.84375,-109.71875
38,33.84375,-109.65625
39,33.84375,-109.59375
40,33.84375,-109.53125
41,33.84375,-109.46875
42,33.84375,-109.40625
43,33.84375,-109.34375
44,33.84375,-109.28125
45,33.84375,-109.21875
46,33.84375,-109.15625
47,33.84375,-109.09375
48,33.90625,-109.84375
49,33.90625,-109.78125
50,33.90625,-109.71875
51,33.90625,-109.65625
52,33.90625,-109.59375
53,33.90625,-109.53125
54,33.90625,-109.46875
55,33.90625,-109.40625
56,33.90625,-109.34375
57,33.90625,-109.28125
58,33.90625,-109.21875
59,33.90625,-109.15625
60,33.90625,-109.09375
61,33.90625,-109.03125
62,33.90625,-108.78125
63,33.96875,-109.84375
64,33.96875,-109.78125
65,33.96875,-109.71875
66,33.96875,-109.65625
67,33.96875,-109.59375
68,33.96875,-109.53125
69,33.96875,-109.46875
70,33.96875,-109.40625
71,33.96875,-109.34375
72,33.96875,-109.28125
73,33.96875,-109.15625
74,33.96875,-109.09375
75,33.96875,-109.03125
76,33.96875,-108.96875
77,34.03125,-109.78125
78,34.03125,-109.71875
79,34.03125,-109.65625
80,34.03125,-109.59375
81,34.03125,-109.53125
82,34.03125,-109.46875
83,34.03125,-109.40625
84,34.03125,-109.34375
85,34.03125,-109.09375
86,34.03125,-109.03125
87,34.03125,-108.96875
88,34.03125,-108.90625
89,34.03125,-108.84375
90,34.09375,-109.84375
91,34.09375,-109.78125
92,34.09375,-109.71875
93,34.09375,-109.65625
94,34.09375,-109.59375
95,34.09375,-109.53125
96,34.15625,-110.65625
97,34.15625,-109.84375
98,34.15625,-109.78125
99,34.15625,-109.71875
100,34.15625,-109.65625
101,34.15625,-109.59375
102,34.15625,-109.53125
103,34.21875,-110.84375
104,34.21875,-110.78125
105,34.21875,-110.71875
106,34.21875,-110.65625
107,34.21875,-110.59375
108,34.21875,-110.28125
109,34.21875,-109.84375
110,34.21875,-109.78125
111,34.21875,-109.65625
112,34.28125,-110.90625
113,34.28125,-110.84375
114,34.28125,-110.78125
115,34.28125,-110.71875
116,34.28125,-110.65625
117,34.28125,-110.59375
118,34.28125,-110.40625
119,34.34375,-110.96875
120,34.34375,-110.90625
121,34.34375,-110.84375
122,34.34375,-110.78125
123,34.34375,-110.71875
124,34.40625,-110.96875
125,34.40625,-110.90625
126,34.40625,-110.84375
127,34.40625,-110.78125
128,34.40625,-110.71875
129,34.46875,-110.96875
130,34.46875,-110.90625
131,34.46875,-110.84375
132,34.46875,-110.78125
133,34.53125,-110.96875
